id	subset	subtracted_length	sequence_length	query_length	num_sequences
5FJA-G	test_pdbch	0	212	212	256
5FKV-D	test_pdbch	0	243	243	256
5FLX-Q	test_pdbch	0	146	146	256
5FLX-A	test_pdbch	0	295	295	256
5FM1-C	test_pdbch	0	473	473	256
5FLZ-A	test_pdbch	0	823	823	256
5FN4-B	test_pdbch	0	467	467	256
5FPN-A	test_pdbch	0	640	640	256
5FM1-B	test_pdbch	0	846	846	256
5FNP-A	test_pdbch	0	220	220	256
5FO3-A	test_pdbch	0	180	180	256
5FSA-A	test_pdbch	0	490	490	256
5FQD-C	test_pdbch	0	341	341	256
5FUR-A	test_pdbch	0	339	339	256
5FSG-A	test_pdbch	0	698	698	256
5FWK-A	test_pdbch	0	727	727	256
5FUR-H	test_pdbch	0	349	349	256
5FWG-A	test_pdbch	0	217	217	256
5FZ5-W	test_pdbch	0	482	482	256
5FWP-E	test_pdbch	0	378	378	256
5FWQ-A	test_pdbch	0	633	633	256
5G04-B	test_pdbch	0	84	84	256
5G04-X	test_pdbch	0	599	599	256
5G04-R	test_pdbch	0	499	499	256
5G04-F	test_pdbch	0	824	824	256
5GAD-i~	test_pdbch	0	450	450	256
5G05-C	test_pdbch	0	597	597	256
5G3N-A	test_pdbch	0	127	127	256
5GAD-l~	test_pdbch	0	497	497	256
5G3M-A	test_pdbch	0	123	123	256
5GAI-Y	test_pdbch	0	662	662	256
5GAH-J	test_pdbch	0	142	142	256
5GJQ-x~	test_pdbch	0	494	494	256
5GJA-A	test_pdbch	0	303	303	256
5GMK-m~	test_pdbch	0	146	146	256
5GMK-P	test_pdbch	0	379	379	256
5GHB-A	test_pdbch	0	107	107	256
5GMK-c~	test_pdbch	0	587	587	256
5GM6-Y	test_pdbch	0	876	876	256
5GJQ-J	test_pdbch	0	406	406	256
5GPL-A	test_pdbch	0	274	274	256
5GN8-A	test_pdbch	0	176	176	256
5GV2-C	test_pdbch	0	349	349	256
5GRH-B	test_pdbch	0	354	354	256
5GVX-A	test_pdbch	0	430	430	256
5GQ0-B	test_pdbch	0	349	349	256
5GTC-D	test_pdbch	0	129	129	256
5GTM-A	test_pdbch	0	601	601	256
5GW4-d~	test_pdbch	0	528	528	256
5GW5-z~	test_pdbch	0	546	546	256
5GW5-g~	test_pdbch	0	534	534	256
5GXB-A	test_pdbch	0	423	423	256
5GW4-h~	test_pdbch	0	550	550	256
5GXU-A	test_pdbch	0	640	640	256
5GW5-q~	test_pdbch	0	568	568	256
5GW6-A	test_pdbch	0	196	196	256
5H1C-A	test_pdbch	0	339	339	256
5GXT-A	test_pdbch	0	468	468	256
5H0Z-A	test_pdbch	0	126	126	256
5H7N-A	test_pdbch	0	478	478	256
5H3O-A	test_pdbch	0	738	738	256
5GYD-A	test_pdbch	0	272	272	256
5H8V-A	test_pdbch	0	583	583	256
5HGZ-A	test_pdbch	0	243	243	256
5HI3-A	test_pdbch	0	132	132	256
5HFU-A	test_pdbch	0	923	923	256
5HIA-A	test_pdbch	0	224	224	256
5HLO-A	test_pdbch	0	94	94	256
5HLY-A	test_pdbch	0	383	383	256
5HI9-A	test_pdbch	0	770	770	256
5HK5-E	test_pdbch	0	147	147	256
5HP5-A	test_pdbch	0	684	684	256
5HJR-A	test_pdbch	0	857	857	256
5HMS-A	test_pdbch	0	330	330	256
5HPT-C	test_pdbch	0	161	161	256
5HQ2-K	test_pdbch	0	483	483	256
5HR2-A	test_pdbch	0	109	109	256
5HTK-A	test_pdbch	0	505	505	256
5HS9-A	test_pdbch	0	110	110	256
5HW8-A	test_pdbch	0	122	122	256
5HZW-A	test_pdbch	0	691	691	256
5HZQ-A	test_pdbch	0	140	140	256
5HZV-A	test_pdbch	0	626	626	256
5HZ8-A	test_pdbch	0	135	135	256
5I0I-E	test_pdbch	0	145	145	256
5I4L-p~0	test_pdbch	0	312	312	256
5I32-A	test_pdbch	0	275	275	256
5I7O-A	test_pdbch	0	326	326	256
5IA9-A	test_pdbch	0	155	155	256
5I81-A	test_pdbch	0	583	583	256
5I6C-A	test_pdbch	0	574	574	256
5I8Q-A	test_pdbch	0	767	767	256
5I96-A	test_pdbch	0	458	458	256
5IDF-B	test_pdbch	0	874	874	256
5ID2-B	test_pdbch	0	164	164	256
5II5-A	test_pdbch	0	496	496	256
5IIC-A	test_pdbch	0	496	496	256
5IEF-A	test_pdbch	0	913	913	256
5IJ0-B	test_pdbch	0	426	426	256
5IE2-A	test_pdbch	0	514	514	256
5IJN-C	test_pdbch	0	819	819	256
5IKK-A	test_pdbch	0	657	657	256
5IMJ-A	test_pdbch	0	246	246	256
5IQR-B	test_pdbch	0	273	273	256
5IJO-H	test_pdbch	0	522	522	256
5ITU-A	test_pdbch	0	400	400	256
5IU0-J	test_pdbch	0	181	181	256
5ISO-B	test_pdbch	0	286	286	256
5IQZ-A	test_pdbch	0	443	443	256
5IY4-A	test_pdbch	0	270	270	256
5IY7-D	test_pdbch	0	142	142	256
5IY9-3	test_pdbch	0	308	308	256
5IY9-N	test_pdbch	0	376	376	256
5IXC-A	test_pdbch	0	814	814	256
5IYB-E	test_pdbch	0	210	210	256
5IYA-O	test_pdbch	0	109	109	256
5IY7-W	test_pdbch	0	760	760	256
5IYB-Q	test_pdbch	0	439	439	256
5IY9-V	test_pdbch	0	782	782	256
5IYC-M	test_pdbch	0	316	316	256
5J13-A	test_pdbch	0	147	147	161
5J1S-A	test_pdbch	0	284	284	256
5IYD-S	test_pdbch	0	517	517	256
5J32-A	test_pdbch	0	403	403	256
5J7L-AP	test_pdbch	0	82	82	256
5J5Z-A	test_pdbch	0	496	496	256
5J3R-A	test_pdbch	0	203	203	256
5JCT-A	test_pdbch	0	310	310	256
5J9Q-F	test_pdbch	0	113	113	256
5JCS-f~	test_pdbch	0	107	107	256
5JCP-B	test_pdbch	0	419	419	256
5J91-CE	test_pdbch	0	201	201	256
5JHE-A	test_pdbch	0	397	397	256
5JKM-A	test_pdbch	0	183	183	256
5JH9-A	test_pdbch	0	516	516	256
5JPW-A	test_pdbch	0	143	143	256
5JQM-A	test_pdbch	0	283	283	256
5JN8-A	test_pdbch	0	266	266	256
5JUS-JB	test_pdbch	0	143	143	256
5JS6-A	test_pdbch	0	274	274	256
5JST-A	test_pdbch	0	443	443	256
5JQE-A	test_pdbch	0	565	565	256
5JR8-A	test_pdbch	0	178	178	256
5K22-A	test_pdbch	0	183	183	256
5JUU-R	test_pdbch	0	138	138	256
5JWY-A	test_pdbch	0	259	259	256
5K98-A	test_pdbch	0	448	448	256
5KAR-A	test_pdbch	0	427	427	256
5K23-A	test_pdbch	0	189	189	256
5JZV-A	test_pdbch	0	206	206	256
5JUT-IA	test_pdbch	0	113	113	256
5KC1-C	test_pdbch	0	226	226	102
5KBW-A	test_pdbch	0	181	181	256
5KCV-A	test_pdbch	0	460	460	256
5KEG-A	test_pdbch	0	203	203	256
5KJS-A	test_pdbch	0	433	433	256
5KHR-Q	test_pdbch	0	190	190	256
5KB6-A	test_pdbch	0	363	363	256
5KDW-A	test_pdbch	0	885	885	256
5KPW-E	test_pdbch	0	177	177	256
5KK2-E	test_pdbch	0	323	323	256
5KPT-A	test_pdbch	0	380	380	256
5KQ4-D	test_pdbch	0	130	130	256
5KWY-C	test_pdbch	0	133	133	256
5L0V-A	test_pdbch	0	357	357	256
5KUF-A	test_pdbch	0	877	877	256
5KZW-A	test_pdbch	0	874	874	256
5L1D-B	test_pdbch	0	158	158	256
5L13-A	test_pdbch	0	517	517	256
5L4K-V	test_pdbch	0	310	310	256
5L6W-C	test_pdbch	0	167	167	256
5L7M-A	test_pdbch	0	88	88	256
5L3D-A	test_pdbch	0	852	852	256
5L46-A	test_pdbch	0	841	841	256
5L8W-A	test_pdbch	0	376	376	256
5LBT-A	test_pdbch	0	237	237	256
5LA7-A	test_pdbch	0	509	509	256
5L8O-A	test_pdbch	0	128	128	256
5LD2-D	test_pdbch	0	609	609	256
5LEF-A	test_pdbch	0	191	191	256
5LGD-A	test_pdbch	0	472	472	256
5LCL-B	test_pdbch	0	371	371	256
5LJ5-D	test_pdbch	0	278	278	256
5LJ3-O	test_pdbch	0	590	590	256
5LEZ-C	test_pdbch	0	248	248	256
5LHD-A	test_pdbch	0	950	950	256
5LJ5-M	test_pdbch	0	339	339	256
5LJ5-S	test_pdbch	0	687	687	256
5LJ5-s~	test_pdbch	0	175	175	256
5LJO-E	test_pdbch	0	87	87	256
5LJ5-t~	test_pdbch	0	503	503	256
5LL6-h~	test_pdbch	0	608	608	256
5LMX-C	test_pdbch	0	380	380	256
5LNS-A	test_pdbch	0	316	316	256
5LOJ-A	test_pdbch	0	263	263	256
5LTL-A	test_pdbch	0	100	100	256
5LTU-A	test_pdbch	0	180	180	256
5LPG-A	test_pdbch	0	164	164	256
5LOL-A	test_pdbch	0	215	215	256
5LTW-C	test_pdbch	0	149	149	256
5LUC-A	test_pdbch	0	403	403	256
5LPU-C	test_pdbch	0	104	104	256
5M3F-I	test_pdbch	0	125	125	256
5M25-A	test_pdbch	0	434	434	256
5LXQ-B	test_pdbch	0	196	196	256
5LZ5-A	test_pdbch	0	388	388	256
5LZT-j~j~	test_pdbch	0	637	637	256
5LZU-i~i~	test_pdbch	0	459	459	256
5LXH-A	test_pdbch	0	123	123	256
5M4S-A	test_pdbch	0	209	209	256
5LZY-j~j~	test_pdbch	0	710	710	256
5M5W-M	test_pdbch	0	415	415	256
5M6U-B	test_pdbch	0	724	724	256
5M3Y-A	test_pdbch	0	458	458	256
5M9B-A	test_pdbch	0	724	724	256
5MC5-A	test_pdbch	0	478	478	256
5M7S-A	test_pdbch	0	916	916	256
5MDW-H	test_pdbch	0	165	165	256
5MFA-A	test_pdbch	0	697	697	256
5MDZ-q~	test_pdbch	0	124	124	256
5MG3-Y	test_pdbch	0	458	458	256
5MG3-G	test_pdbch	0	136	136	256
5MHB-A	test_pdbch	0	324	324	256
5MHH-A	test_pdbch	0	188	188	256
5MJ3-B	test_pdbch	0	179	179	164
5MKT-A	test_pdbch	0	389	389	256
5MKE-A	test_pdbch	0	968	968	256
5MPB-R	test_pdbch	0	429	429	256
5MHL-A	test_pdbch	0	738	738	256
5MPC-8	test_pdbch	0	499	499	256
5MLK-A	test_pdbch	0	614	614	256
5MPO-A	test_pdbch	0	106	106	256
5MPD-V	test_pdbch	0	306	306	256
5MPC-h~	test_pdbch	0	215	215	256
5MQ0-T	test_pdbch	0	877	877	256
5MPS-a~	test_pdbch	0	251	251	256
5MRC-a~	test_pdbch	0	177	177	256
5MQ5-A	test_pdbch	0	332	332	256
5MRC-4	test_pdbch	0	138	138	256
5MRC-c~	test_pdbch	0	119	119	256
5MQF-o~	test_pdbch	0	301	301	256
5MRC-1	test_pdbch	0	348	348	256
5MRC-F	test_pdbch	0	196	196	256
5MRC-NN	test_pdbch	0	115	115	256
5MRE-55	test_pdbch	0	339	339	53
5MRC-U	test_pdbch	0	82	82	256
5MRE-88	test_pdbch	0	457	457	256
5MRC-PP	test_pdbch	0	119	119	256
5MRE-AA	test_pdbch	0	344	344	256
5MRE-8	test_pdbch	0	264	264	164
5MRE-B	test_pdbch	0	393	393	256
5MRE-d~	test_pdbch	0	215	215	256
5MRE-FF	test_pdbch	0	125	125	256
5MRE-H	test_pdbch	0	160	160	256
5MRE-ZZ	test_pdbch	0	91	91	256
5MRE-R	test_pdbch	0	337	337	256
5MRE-X	test_pdbch	0	64	64	256
5MRE-HH	test_pdbch	0	154	154	256
5MRF-33	test_pdbch	0	255	255	256
5MRF-44	test_pdbch	0	321	321	256
5MRF-b~	test_pdbch	0	155	155	256
5MRF-C	test_pdbch	0	249	249	256
5MRF-EE	test_pdbch	0	293	293	256
5MRF-JJ	test_pdbch	0	186	186	256
5MRF-CC	test_pdbch	0	398	398	256
5MRF-6	test_pdbch	0	281	281	256
5MRF-E	test_pdbch	0	274	274	256
5MRF-DD	test_pdbch	0	486	486	256
5MRF-QQ	test_pdbch	0	237	237	256
5MRF-L	test_pdbch	0	237	237	256
5MRF-Q	test_pdbch	0	296	296	256
5MTZ-A	test_pdbch	0	874	874	256
5MS0-M	test_pdbch	0	497	497	256
5MZ6-B	test_pdbch	0	244	244	13
5N47-A	test_pdbch	0	188	188	256
5N48-A	test_pdbch	0	188	188	256
5N5Z-G	test_pdbch	0	326	326	256
5N61-N	test_pdbch	0	233	233	256
5N7D-A	test_pdbch	0	427	427	256
5N92-F	test_pdbch	0	139	139	256
5N9J-B	test_pdbch	0	144	144	256
5N61-P	test_pdbch	0	894	894	256
5N4W-A	test_pdbch	0	748	748	256
5N9J-X	test_pdbch	0	210	210	256
5N9J-G	test_pdbch	0	239	239	256
5N9J-C	test_pdbch	0	138	138	256
5N9J-E	test_pdbch	0	376	376	256
5NBL-C	test_pdbch	0	375	375	256
5N6H-A	test_pdbch	0	532	532	256
5N9J-Z	test_pdbch	0	136	136	256
5N9J-W	test_pdbch	0	545	545	256
5NGZ-A	test_pdbch	0	197	197	256
5NFN-A	test_pdbch	0	335	335	256
5NIL-A	test_pdbch	0	479	479	256
5NGU-A	test_pdbch	0	381	381	256
5NIL-D	test_pdbch	0	371	371	256
5NIJ-A	test_pdbch	0	454	454	256
5NIK-J	test_pdbch	0	654	654	256
5NKN-A	test_pdbch	0	174	174	256
5NP8-A	test_pdbch	0	420	420	256
5NJ3-A	test_pdbch	0	664	664	256
5NQA-A	test_pdbch	0	578	578	256
5NKS-A	test_pdbch	0	573	573	256
5NTB-A	test_pdbch	0	110	110	256
5NT2-F	test_pdbch	0	233	233	91
5NRL-T	test_pdbch	0	530	530	256
5NTU-A	test_pdbch	0	335	335	256
5O7X-C	test_pdbch	0	507	507	256
5NZV-F	test_pdbch	0	181	181	256
5NWY-d~	test_pdbch	0	118	118	256
5NX2-A	test_pdbch	0	422	422	256
5O9Z-R	test_pdbch	0	557	557	256
5NZZ-A	test_pdbch	0	504	504	256
5O9Z-M	test_pdbch	0	177	177	256
5O9M-A	test_pdbch	0	180	180	256
5OA3-0	test_pdbch	0	584	584	256
5OGE-A	test_pdbch	0	337	337	256
5OKZ-J	test_pdbch	0	190	190	256
5OKZ-G	test_pdbch	0	244	244	256
5OEZ-A	test_pdbch	0	351	351	256
5OBB-A	test_pdbch	0	197	197	256
5OF4-E	test_pdbch	0	395	395	256
5ON6-q~	test_pdbch	0	191	191	256
5OJW-B	test_pdbch	0	137	137	256
5OO6-B	test_pdbch	0	158	158	256
5OLB-A	test_pdbch	0	844	844	256
5OMP-A	test_pdbch	0	462	462	256
5OOM-O	test_pdbch	0	175	175	256
5OQJ-0	test_pdbch	0	778	778	256
5OQJ-1	test_pdbch	0	641	641	256
5OQJ-O	test_pdbch	0	240	240	256
5OQJ-7	test_pdbch	0	843	843	256
5OQJ-2	test_pdbch	0	462	462	256
5OQJ-6	test_pdbch	0	461	461	256
5OQJ-X	test_pdbch	0	328	328	256
5OQM-4	test_pdbch	0	333	333	256
5OQM-5	test_pdbch	0	72	72	256
5OQM-b~	test_pdbch	0	223	223	256
5OQM-U	test_pdbch	0	286	286	256
5OQM-f~	test_pdbch	0	210	210	256
5OQM-n~	test_pdbch	0	140	140	256
5OQM-c~	test_pdbch	0	115	115	256
5OWU-A	test_pdbch	0	861	861	256
5P2P-A	test_pdbch	0	119	119	256
5OR2-A	test_pdbch	0	193	193	256
5OQR-A	test_pdbch	0	788	788	256
5Q0C-A	test_pdbch	0	339	339	256
5SV0-B	test_pdbch	0	244	244	256
5PGM-D	test_pdbch	0	246	246	256
5RLA-A	test_pdbch	0	323	323	256
5SUQ-A	test_pdbch	0	446	446	256
5R1R-A	test_pdbch	0	761	761	256
5SVA-g~	test_pdbch	0	400	400	256
5SVA-a~	test_pdbch	0	513	513	256
5SVA-T	test_pdbch	0	284	284	256
5SVA-n~	test_pdbch	0	244	244	256
5SVA-V	test_pdbch	0	149	149	39
5SVA-Z	test_pdbch	0	843	843	256
5SY4-A	test_pdbch	0	199	199	256
5SVD-A	test_pdbch	0	600	600	256
5SZH-B	test_pdbch	0	203	203	256
5SY1-A	test_pdbch	0	670	670	256
5SZI-A	test_pdbch	0	209	209	256
5T2C-F	test_pdbch	0	427	427	256
5SZJ-A	test_pdbch	0	202	202	256
5T3P-A	test_pdbch	0	236	236	256
5T0I-L	test_pdbch	0	268	268	256
5SVM-A	test_pdbch	0	363	363	256
5T62-I	test_pdbch	0	244	244	256
5T9S-F	test_pdbch	0	108	108	256
5T62-X	test_pdbch	0	264	264	256
5T7H-A	test_pdbch	0	109	109	256
5T6R-V	test_pdbch	0	917	917	256
5TBK-I	test_pdbch	0	421	421	256
5TA2-A	test_pdbch	0	163	163	256
5TBY-E	test_pdbch	0	166	166	256
5TBY-C	test_pdbch	0	195	195	256
5TGC-C	test_pdbch	0	158	158	87
5TC4-A	test_pdbch	0	316	316	256
5TF2-A	test_pdbch	0	407	407	256
5TEY-A	test_pdbch	0	598	598	256
5TGM-C1	test_pdbch	0	155	155	256
5TJ5-D	test_pdbch	0	147	147	256
5THM-A	test_pdbch	0	533	533	256
5TCX-A	test_pdbch	0	246	246	256
5TSU-A	test_pdbch	0	422	422	256
5TUR-A	test_pdbch	0	404	404	256
5TTD-A	test_pdbch	0	499	499	256
5TOS-A	test_pdbch	0	395	395	256
5TXT-B	test_pdbch	0	491	491	256
5U0P-3	test_pdbch	0	139	139	256
5U03-A	test_pdbch	0	591	591	256
5U0P-U	test_pdbch	0	138	138	256
5U0S-2	test_pdbch	0	273	273	256
5U0S-F	test_pdbch	0	216	216	256
5U4I-q~	test_pdbch	0	84	84	256
5U0S-H	test_pdbch	0	200	200	256
5U4I-v~	test_pdbch	0	383	383	256
5U6Y-A	test_pdbch	0	461	461	256
5U8S-E	test_pdbch	0	650	650	256
5U5Q-F	test_pdbch	0	155	155	256
5U0S-N	test_pdbch	0	931	931	256
5U9M-B	test_pdbch	0	248	248	256
5U8S-7	test_pdbch	0	845	845	256
5UAU-A	test_pdbch	0	322	322	256
5UGH-A	test_pdbch	0	397	397	256
5UDI-A	test_pdbch	0	479	479	256
5UJ7-C	test_pdbch	0	436	436	256
5UHS-A	test_pdbch	0	93	93	256
5UJM-E	test_pdbch	0	435	435	256
5UI4-A	test_pdbch	0	159	159	256
5UPP-A	test_pdbch	0	466	466	256
5UQ3-C	test_pdbch	0	201	201	256
5UNO-A	test_pdbch	0	492	492	256
5UWI-A	test_pdbch	0	237	237	256
5UX4-A	test_pdbch	0	420	420	256
5UOW-A	test_pdbch	0	814	814	256
5UWC-I	test_pdbch	0	122	122	43
5UYZ-A	test_pdbch	0	541	541	256
5UYS-A	test_pdbch	0	494	494	256
5UY8-A	test_pdbch	0	601	601	256
5V2J-A	test_pdbch	0	449	449	256
5V5F-A	test_pdbch	0	200	200	256
5UZ7-B	test_pdbch	0	351	351	256
5V5P-C	test_pdbch	0	528	528	256
5V8F-9	test_pdbch	0	513	513	256
5V8F-8	test_pdbch	0	604	604	256
5V8F-A	test_pdbch	0	913	913	256
5V8F-E	test_pdbch	0	479	479	256
5V8F-F	test_pdbch	0	435	435	256
5V8F-D	test_pdbch	0	529	529	256
5VAI-A	test_pdbch	0	380	380	256
5VAW-A	test_pdbch	0	508	508	256
5VAQ-A	test_pdbch	0	954	954	256
5VDF-A	test_pdbch	0	73	73	256
5VCM-A	test_pdbch	0	419	419	256
5VBN-A	test_pdbch	0	527	527	256
5VEU-A	test_pdbch	0	480	480	256
5VF9-A	test_pdbch	0	199	199	256
5VJW-A	test_pdbch	0	309	309	256
5VFP-F	test_pdbch	0	396	396	256
5VM9-A	test_pdbch	0	862	862	256
5VOY-c~	test_pdbch	0	73	73	256
5VOY-P	test_pdbch	0	478	478	256
5VOY-O	test_pdbch	0	392	392	256
5VOZ-R	test_pdbch	0	213	213	256
5VOY-b~	test_pdbch	0	840	840	256
5VSU-B	test_pdbch	0	98	98	256
5VQ9-D	test_pdbch	0	432	432	256
5VOZ-N	test_pdbch	0	118	118	256
5TK5-A	test_pdbch	0	290	290	256
5VSU-F	test_pdbch	0	88	88	256
5W0C-A	test_pdbch	0	477	477	256
5W0W-C	test_pdbch	0	311	311	256
5W5Y-D	test_pdbch	0	137	137	141
5W0P-A	test_pdbch	0	906	906	256
5VY8-A	test_pdbch	0	908	908	256
5W61-A	test_pdbch	0	194	194	256
5W62-A	test_pdbch	0	192	192	256
5W65-O	test_pdbch	0	894	894	256
5W64-O	test_pdbch	0	894	894	256
5W8S-A	test_pdbch	0	382	382	256
5W94-A	test_pdbch	0	624	624	256
5W66-P	test_pdbch	0	514	514	256
5WA8-A	test_pdbch	0	129	129	256
5WBU-D	test_pdbch	0	328	328	256
5WC0-A	test_pdbch	0	472	472	256
5WLC-LJ	test_pdbch	0	513	513	256
5WLC-LH	test_pdbch	0	896	896	256
5WG6-A	test_pdbch	0	859	859	256
5WLC-SG	test_pdbch	0	573	573	256
5WLC-ND	test_pdbch	0	214	214	256
5WLC-NB	test_pdbch	0	610	610	256
5WLC-NA	test_pdbch	0	593	593	256
5WLC-SM	test_pdbch	0	290	290	256
5WLC-SH	test_pdbch	0	367	367	256
5WLY-A	test_pdbch	0	248	248	256
5WLC-ST	test_pdbch	0	792	792	256
5WP9-A	test_pdbch	0	710	710	256
5WMH-A	test_pdbch	0	475	475	256
5WPT-A	test_pdbch	0	592	592	256
5WLC-LK	test_pdbch	0	575	575	256
5WQK-A	test_pdbch	0	293	293	256
5WQ6-A	test_pdbch	0	476	476	256
5WSG-X	test_pdbch	0	111	111	256
5WUA-A	test_pdbch	0	681	681	256
5WVI-K	test_pdbch	0	428	428	256
5WQV-A	test_pdbch	0	104	104	256
5WVI-L	test_pdbch	0	437	437	256
5WVK-X	test_pdbch	0	156	156	256
5WYJ-BC	test_pdbch	0	817	817	256
5WX9-A	test_pdbch	0	131	131	256
5WWN-A	test_pdbch	0	709	709	256
5WYJ-MA	test_pdbch	0	183	183	256
5WWT-A	test_pdbch	0	477	477	256
5WVI-Z	test_pdbch	0	993	993	256
5WYJ-E3	test_pdbch	0	483	483	256
5WYJ-P1	test_pdbch	0	274	274	256
5WYJ-U4	test_pdbch	0	189	189	256
5WYK-3E	test_pdbch	0	511	511	256
5X3F-A	test_pdbch	0	501	501	256
5WYK-3B	test_pdbch	0	327	327	256
5WZS-A	test_pdbch	0	123	123	256
5WYK-BB	test_pdbch	0	943	943	256
5X2L-A	test_pdbch	0	348	348	256
5X3F-B	test_pdbch	0	393	393	256
5X3V-A	test_pdbch	0	496	496	256
5X49-A	test_pdbch	0	456	456	256
5XGS-A	test_pdbch	0	427	427	256
5X6U-A	test_pdbch	0	127	127	256
5XAE-A	test_pdbch	0	142	142	256
5XJC-J	test_pdbch	0	848	848	256
5X6O-G	test_pdbch	0	747	747	174
5XJC-R	test_pdbch	0	536	536	256
5XF8-3	test_pdbch	0	997	997	256
5XJX-C	test_pdbch	0	433	433	256
5XM5-A	test_pdbch	0	193	193	256
5XMK-A	test_pdbch	0	437	437	256
5XQL-A	test_pdbch	0	291	291	256
5XJC-x~	test_pdbch	0	703	703	256
5XOC-B	test_pdbch	0	141	141	256
5XTD-b~	test_pdbch	0	128	128	256
5XTD-H	test_pdbch	0	112	112	256
5XTH-AL	test_pdbch	0	446	446	256
5XTI-W	test_pdbch	0	138	138	256
5XTH-Q	test_pdbch	0	430	430	256
5XTH-S	test_pdbch	0	70	70	256
5XVU-A	test_pdbch	0	332	332	256
5XTH-u~	test_pdbch	0	169	169	256
5XTH-p~	test_pdbch	0	172	172	256
5XV4-B	test_pdbch	0	218	218	256
5XWM-A	test_pdbch	0	383	383	256
5Y58-A	test_pdbch	0	575	575	256
5Y2G-A	test_pdbch	0	595	595	256
5Y31-B	test_pdbch	0	544	544	256
5Y1U-A	test_pdbch	0	456	456	256
5Y38-B	test_pdbch	0	109	109	256
5Y70-A	test_pdbch	0	100	100	28
5Y58-B	test_pdbch	0	628	628	256
5Y64-B	test_pdbch	0	262	262	256
5Y86-A	test_pdbch	0	588	588	256
5YAK-A	test_pdbch	0	264	264	256
5YAM-A	test_pdbch	0	69	69	256
5YFG-A	test_pdbch	0	194	194	256
5YGS-A	test_pdbch	0	463	463	256
5YFP-F	test_pdbch	0	910	910	256
5Y88-U	test_pdbch	0	708	708	256
5YH2-A	test_pdbch	0	467	467	256
5YHT-A	test_pdbch	0	267	267	256
5YJF-A	test_pdbch	0	284	284	256
5YLZ-V	test_pdbch	0	382	382	256
5YJI-A	test_pdbch	0	284	284	256
5YPX-A	test_pdbch	0	223	223	256
5YTU-A	test_pdbch	0	180	180	256
5YVG-X	test_pdbch	0	528	528	256
5YVT-A	test_pdbch	0	339	339	256
5Z0R-A	test_pdbch	0	445	445	256
5Z01-A	test_pdbch	0	323	323	256
5Z38-F	test_pdbch	0	71	71	256
5YZA-A	test_pdbch	0	525	525	256
5YZG-3	test_pdbch	0	754	754	256
5YZG-2	test_pdbch	0	646	646	256
5Z56-q~	test_pdbch	0	504	504	256
5Z56-z~	test_pdbch	0	472	472	256
5Z62-N	test_pdbch	0	79	79	256
5Z58-f~	test_pdbch	0	86	86	256
5Z57-V	test_pdbch	0	908	908	256
5Z9R-A	test_pdbch	0	281	281	256
5ZB2-B	test_pdbch	0	103	103	256
5ZAK-B	test_pdbch	0	366	366	256
5Z8L-A	test_pdbch	0	234	234	256
5ZBQ-A	test_pdbch	0	525	525	256
5ZE4-A	test_pdbch	0	573	573	256
5ZHX-e~	test_pdbch	0	198	198	256
5ZLG-A	test_pdbch	0	292	292	256
5ZM8-A	test_pdbch	0	455	455	256
5ZC0-A	test_pdbch	0	289	289	256
5ZI4-A	test_pdbch	0	345	345	256
5ZQT-A	test_pdbch	0	473	473	256
5ZQZ-B	test_pdbch	0	474	474	256
5ZR1-C	test_pdbch	0	616	616	256
5ZRV-A	test_pdbch	0	763	763	256
5ZUT-A	test_pdbch	0	289	289	256
5ZWM-4	test_pdbch	0	213	213	256
5ZWM-v~	test_pdbch	0	266	266	256
5ZWM-X	test_pdbch	0	148	148	256
5ZWM-s~	test_pdbch	0	187	187	256
5ZR1-B	test_pdbch	0	620	620	256
5ZWN-S	test_pdbch	0	298	298	256
5ZWN-Q	test_pdbch	0	300	300	256
5ZWN-T	test_pdbch	0	544	544	256
5ZWN-V	test_pdbch	0	523	523	256
5ZWN-W	test_pdbch	0	492	492	60
5ZWN-y~	test_pdbch	0	588	588	256
5ZWN-Y	test_pdbch	0	261	261	256
5ZWO-1	test_pdbch	0	971	971	256
5ZXL-A	test_pdbch	0	367	367	256
5ZYN-B	test_pdbch	0	471	471	256
5ZZM-A	test_pdbch	0	426	426	256
5ZYT-A	test_pdbch	0	324	324	256
5ZWO-w~	test_pdbch	0	280	280	256
6A4I-A	test_pdbch	0	391	391	256
6A1S-A	test_pdbch	0	145	145	256
6A5L-b~	test_pdbch	0	106	106	256
6A5Q-B	test_pdbch	0	250	250	256
6A66-A	test_pdbch	0	142	142	256
6AGB-C	test_pdbch	0	195	195	256
6AGB-I	test_pdbch	0	293	293	256
6AAG-A	test_pdbch	0	140	140	256
6AGB-F	test_pdbch	0	158	158	256
6AGB-D	test_pdbch	0	279	279	256
6AGB-K	test_pdbch	0	144	144	256
6AH0-L	test_pdbch	0	499	499	256
6AH0-t~	test_pdbch	0	91	91	256
6AH3-G	test_pdbch	0	140	140	256
6AH3-H	test_pdbch	0	133	133	256
6AH3-E	test_pdbch	0	173	173	256
6AH3-B	test_pdbch	0	875	875	256
6AHR-E	test_pdbch	0	163	163	256
6AHD-N	test_pdbch	0	941	941	256
6AHU-D	test_pdbch	0	220	220	256
6AHR-F	test_pdbch	0	199	199	256
6AHU-H	test_pdbch	0	124	124	256
6AHU-C	test_pdbch	0	283	283	256
6AHU-G	test_pdbch	0	140	140	256
6AHU-I	test_pdbch	0	268	268	256
